007,[-0.02015261 -0.00084121  0.0030936  -0.00763304  0.01428131]
007 (series),[-0.01853978 -0.0026605   0.00624824 -0.00718539  0.01254618]
18th century,[ 0.00227078 -0.02567956  0.00395044  0.01774387  0.02535759]
1920s,[ 0.01297116 -0.01780626  0.00631799  0.0175863   0.00922495]
1930s,[ 0.01898103 -0.03123979 -0.01464068 -0.00384164  0.01042727]
1950s,[ 0.01529984 -0.01971598 -0.0078565   0.00664709 -0.00066829]
1960s,[ 0.01044246 -0.01561969  0.00574027 -0.00712019  0.00402163]
1970s,[ 0.03502668 -0.00633464 -0.01662905 -0.02680178 -0.02332749]
1980s,[-0.00208135 -0.00124635 -0.01398999 -0.02517729 -0.05091668]
19th century,[ 0.00783494 -0.02134749  0.0035539   0.01710625  0.0215384 ]
3d,[-0.02549559 -0.00496965  0.00370417  0.02853349  0.00072028]
70mm,[-0.01571257 -0.0127072  -0.02085903  0.02222759  0.00169722]
80s,[-0.04528977  0.01968669  0.00407801 -0.02592038 -0.05585703]
9/11,[-0.00858711 -0.00634981  0.01136242 -0.00972596  0.02144957]
aardman,[-0.01108494 -0.0046685   0.01633807 -0.00252777  0.00815991]
aardman studios,[-0.00488776 -0.00887216  0.01780899  0.00088755 -0.001745  ]
abortion,[-0.0071339  -0.00711317  0.02094998 -0.00866887  0.01219812]
absurd,[ 0.01174261  0.0422461   0.02149354  0.00554238 -0.04470452]
action,[-0.08421671  0.05764588 -0.13970491  0.0215888  -0.02147824]
action packed,[-0.06063895  0.03005597 -0.08166759  0.0065765  -0.02683774]
adaptation,[ 0.00465547  0.00559426 -0.02108007 -0.00349502 -0.0025148 ]
adapted from:book,[ 0.03229558 -0.02374046 -0.04142615  0.00576667 -0.00615004]
adapted from:comic,[-0.04918561  0.01287437 -0.00567721  0.01102644 -0.01126015]
adapted from:game,[-0.02489542  0.00249591  0.01345056  0.00226262  0.01028908]
addiction,[ 0.01796756  0.0042254   0.03630532 -0.03058202 -0.01012516]
adolescence,[ 0.0126428  -0.01999272  0.0445837  -0.03037989 -0.03886905]
adoption,[-0.00017846 -0.02720037  0.0232057  -0.00997034  0.01356639]
adultery,[ 0.03690542 -0.01119393  0.02236564 -0.02351244  0.04563384]
adventure,[-0.05751705 -0.02337599 -0.07330458  0.08095103 -0.0428818 ]
affectionate,[ 0.07174986 -0.03369951  0.02840026  0.01946331 -0.05152074]
afi 100,[ 0.00359582 -0.00735247  0.00518571 -0.00165191  0.00015843]
afi 100 (laughs),[ 0.01431642 -0.0133152   0.01016572 -0.00723013 -0.01454117]
afi 100 (movie quotes),[ 0.02822929 -0.00825455 -0.02330745 -0.00931886 -0.02880402]
africa,[-0.00298919 -0.02248494 -0.00104235 -0.00247574  0.01782476]
afterlife,[-0.01083408  0.00199278  0.01679653  0.016973    0.01110357]
aging,[ 0.01745979 -0.03783366  0.00766776  0.00793251 -0.01072176]
aids,"[ 2.61103894e-05 -2.03750889e-02  8.16575535e-03 -2.14696067e-02
  7.41059672e-03]"
airplane,[-0.01664491 -0.00460306  0.00927187 -0.00570661  0.01030299]
airport,[-0.01264795 -0.00395123  0.00682599 -0.00671168  0.01127085]
alaska,[-0.00975895 -0.00637856  0.01268268 -0.00419272  0.01221642]
alcatraz,[-0.0120606  -0.00403369  0.00976678 -0.00674006  0.00990964]
alcoholism,[ 0.00282314 -0.01065424  0.02035846 -0.01567043  0.00199718]
alien,[-0.0321963   0.01872244 -0.01097918  0.06751514  0.00346996]
alien invasion,[-0.02689764  0.00868908 -0.0066498   0.03981906  0.00852653]
aliens,[-0.02663333  0.0166591  -0.01858947  0.06674295 -0.00324638]
allegory,[ 0.04728273  0.04133705  0.00652109  0.10001108 -0.01458053]
almodovar,[-0.00561865 -0.00273682  0.02677272 -0.0020122   0.01630162]
alone in the world,[-0.00467377 -0.0049539  -0.00175374  0.05118649  0.00410963]
alter ego,[-0.01374408  0.00087129 -0.0283221  -0.00077032 -0.04853151]
